Airline,Verified,Type of Traveller,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Sentiment,Season,Continent_Route
Singapore Airlines,False,Couple Leisure,Premium Economy,4,5,1,5,3,5,no,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,3,1,4,3,9,yes,Positive,Autumn,Europe to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,1,3,4,3,3,5,no,Negative,Autumn,Asia to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,4,5,2,5,4,10,yes,Positive,Autumn,Asia to Europe
Singapore Airlines,True,Couple Leisure,Economy Class,3,1,2,5,4,10,yes,Positive,Autumn,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,3,1,5,1,5,9,yes,Positive,Autumn,Oceania to Europe
Singapore Airlines,True,Solo Leisure,Premium Economy,5,5,5,5,5,10,yes,Positive,Autumn,North America to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,1,3,1,1,2,5,no,Negative,Autumn,Asia to Europe
Singapore Airlines,True,Couple Leisure,Business Class,1,2,2,1,4,8,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,5,1,5,1,1,1,no,Positive,Summer,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,3,5,5,4,3,6,yes,Negative,Autumn,Oceania to Africa
Singapore Airlines,True,Family Leisure,Business Class,5,5,1,5,5,10,yes,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Family Leisure,Economy Class,4,3,3,4,1,1,no,Negative,Summer,Oceania to Europe
Singapore Airlines,False,Couple Leisure,Economy Class,4,2,5,5,2,2,no,Positive,Autumn,Asia to Unknown
Singapore Airlines,True,Couple Leisure,Business Class,5,5,3,5,4,9,yes,Positive,Autumn,Africa to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,2,1,1,5,2,3,no,Negative,Autumn,Africa to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,2,5,5,5,7,yes,Positive,Autumn,Europe to Oceania
Singapore Airlines,True,Family Leisure,Economy Class,5,5,2,2,1,1,no,Negative,Summer,Europe to Asia
Singapore Airlines,True,Couple Leisure,Business Class,5,5,1,4,4,10,yes,Positive,Autumn,Oceania to Europe
Singapore Airlines,True,Couple Leisure,Economy Class,1,4,1,3,4,10,yes,Positive,Autumn,Asia to Oceania
Singapore Airlines,False,Couple Leisure,Economy Class,2,4,5,5,1,3,no,Negative,Autumn,Europe to Oceania
Singapore Airlines,True,Solo Leisure,Economy Class,5,1,5,4,1,1,no,Negative,Autumn,Europe to Asia
Singapore Airlines,True,Solo Leisure,Business Class,3,5,1,4,5,10,yes,Positive,Autumn,America to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,1,4,5,5,4,4,yes,Positive,Autumn,North America to Europe
Singapore Airlines,True,Solo Leisure,Premium Economy,1,4,4,5,2,4,no,Positive,Autumn,Asia to Oceania
Singapore Airlines,False,Solo Leisure,Economy Class,4,1,3,1,2,6,no,Positive,Summer,Oceania to Europe
Singapore Airlines,True,Family Leisure,Business Class,3,1,4,3,5,10,yes,Positive,Autumn,Oceania to Europe
Singapore Airlines,False,Couple Leisure,Economy Class,4,1,5,4,1,2,no,Positive,Summer,Europe to Oceania
Singapore Airlines,True,Couple Leisure,Economy Class,1,5,5,4,1,2,no,Negative,Autumn,North America to Asia
Singapore Airlines,True,Family Leisure,Premium Economy,3,5,4,2,1,1,no,Positive,Summer,Oceania to Africa
Singapore Airlines,True,Couple Leisure,Economy Class,1,1,4,1,5,10,yes,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Premium Economy,5,5,1,5,2,5,no,Negative,Autumn,America to Asia
Singapore Airlines,True,Business,Business Class,5,5,3,5,2,2,no,Positive,Autumn,Oceania to Asia
Singapore Airlines,True,Family Leisure,Economy Class,4,5,3,4,1,1,no,Positive,Summer,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Economy Class,5,1,1,4,1,1,no,Negative,Summer,Asia to Asia
Singapore Airlines,False,Solo Leisure,Economy Class,5,5,1,5,1,1,no,Positive,Summer,Oceania to Europe
Singapore Airlines,True,Family Leisure,Business Class,5,5,4,4,5,10,yes,Positive,Summer,Asia to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,4,4,4,3,5,10,yes,Positive,Summer,Asia to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,2,1,1,1,3,no,Positive,Summer,Unknown to Asia
Singapore Airlines,True,Business,Economy Class,5,4,1,1,5,10,yes,Positive,Spring,Asia to Asia
Singapore Airlines,True,Business,Economy Class,3,4,3,3,5,9,yes,Positive,Spring,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,1,4,2,4,8,yes,Positive,Winter,Europe to Asia
Singapore Airlines,True,Solo Leisure,Business Class,3,3,4,2,2,4,no,Positive,Summer,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,4,5,2,3,5,9,yes,Positive,Summer,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,5,5,2,1,5,10,yes,Positive,Summer,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,1,3,4,3,4,5,no,Positive,Summer,Oceania to Asia
Singapore Airlines,True,Family Leisure,Economy Class,3,3,5,3,1,4,no,Positive,Summer,Asia to Asia
Singapore Airlines,False,Solo Leisure,Economy Class,3,3,1,3,4,8,yes,Positive,Spring,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Business Class,5,5,1,4,4,8,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,1,5,3,5,1,1,no,Negative,Summer,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,3,5,3,1,4,no,Negative,Summer,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,3,1,1,3,5,6,yes,Positive,Summer,America to Asia
Singapore Airlines,True,Business,Business Class,5,5,1,5,4,9,yes,Positive,Summer,Asia to Oceania
Singapore Airlines,True,Business,Business Class,4,5,1,3,1,1,no,Negative,Summer,Asia to Oceania
Singapore Airlines,True,Business,Business Class,2,5,1,5,1,1,no,Positive,Summer,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,1,5,5,1,2,no,Positive,Spring,Asia to Oceania
Singapore Airlines,True,Solo Leisure,Business Class,5,5,3,4,4,10,yes,Positive,Summer,Asia to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,5,2,5,4,9,yes,Positive,Summer,Asia to Asia
Singapore Airlines,True,Solo Leisure,Business Class,2,2,5,1,3,6,no,Negative,Summer,Asia to America
Singapore Airlines,True,Family Leisure,Economy Class,2,3,1,4,1,2,no,Positive,Summer,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,2,1,3,5,9,yes,Positive,Summer,Europe to Asia
Singapore Airlines,True,Family Leisure,Business Class,5,3,4,3,5,10,yes,Positive,Summer,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,5,1,3,4,4,no,Negative,Summer,Asia to America
Singapore Airlines,True,Business,Business Class,3,2,1,4,1,1,no,Negative,Summer,Asia to Asia
Singapore Airlines,False,Solo Leisure,Business Class,2,5,1,4,4,7,yes,Positive,Summer,America to Asia
Singapore Airlines,True,Family Leisure,Business Class,2,5,4,4,4,10,yes,Positive,Spring,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Economy Class,5,1,4,4,3,1,no,Negative,Summer,Europe to Asia
Singapore Airlines,True,Family Leisure,Business Class,2,3,4,3,1,2,no,Negative,Winter,Asia to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,3,1,5,2,3,no,Positive,Spring,Asia to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,5,1,2,3,2,3,no,Positive,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Premium Economy,3,5,2,1,5,10,yes,Positive,Spring,Asia to America
Singapore Airlines,True,Couple Leisure,Economy Class,3,2,5,4,2,2,no,Positive,Spring,Asia to Asia
Singapore Airlines,True,Business,Business Class,1,4,1,3,4,7,yes,Positive,Spring,Oceania to Europe
Singapore Airlines,True,Solo Leisure,Business Class,3,5,5,3,5,10,yes,Positive,Spring,America to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,1,3,5,5,1,1,no,Negative,Spring,Asia to Oceania
Singapore Airlines,True,Business,Business Class,2,1,4,5,1,2,no,Positive,Spring,Europe to Asia
Singapore Airlines,True,Couple Leisure,Premium Economy,5,5,2,5,1,3,yes,Negative,Spring,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,4,1,2,4,1,1,no,Positive,Spring,Asia to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,1,5,1,1,no,Negative,Spring,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,1,1,5,5,1,2,no,Negative,Spring,Europe to Oceania
Singapore Airlines,False,Solo Leisure,Business Class,3,5,1,5,1,6,no,Positive,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,3,5,1,4,5,9,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,4,3,3,1,1,no,Negative,Winter,Asia to Europe
Singapore Airlines,True,Couple Leisure,Business Class,1,4,2,5,3,6,yes,Negative,Spring,Asia to Europe
Singapore Airlines,True,Solo Leisure,Premium Economy,3,3,1,5,1,1,no,Negative,Spring,North America to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,5,1,1,3,1,1,no,Positive,Spring,Europe to Asia
Singapore Airlines,True,Business,Business Class,5,5,1,4,1,1,no,Positive,Spring,America to Asia
Singapore Airlines,True,Business,Economy Class,4,4,3,5,1,1,no,Negative,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,2,3,5,4,3,8,yes,Positive,Winter,Europe to Asia
Singapore Airlines,True,Couple Leisure,Economy Class,3,4,3,4,2,1,no,Negative,Spring,Oceania to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,4,5,4,3,1,no,Negative,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,4,3,2,5,5,10,yes,Positive,Spring,Oceania to Asia
Singapore Airlines,True,Couple Leisure,Business Class,3,3,1,4,5,9,yes,Positive,Spring,Asia to America
Singapore Airlines,False,Couple Leisure,Economy Class,2,4,1,3,5,7,yes,Positive,Spring,Europe to Oceania
Singapore Airlines,True,Business,Business Class,1,4,4,4,4,6,no,Positive,Spring,Oceania to Europe
Singapore Airlines,True,Solo Leisure,Economy Class,4,5,5,4,1,2,no,Positive,Spring,Asia to Asia
Singapore Airlines,True,Family Leisure,Business Class,4,3,5,4,4,9,yes,Positive,Spring,Europe to Asia
Singapore Airlines,True,Solo Leisure,Economy Class,5,5,3,5,4,6,yes,Positive,Winter,Asia to Oceania
Singapore Airlines,True,Couple Leisure,Economy Class,3,4,4,2,1,3,no,Positive,Winter,Asia to Oceania
